MessageSequentialID;StorageDate;FromIdentity;ToIdentity;Message;MessageOriginator
73925;2018-02-02 14:01:59.89 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net;"Isso ai!!! 😀
Não perca tempo, pq o bloco ja está saindo.  Corre que dá tempo!! 🎭";Bot
73928;2018-02-02 14:02:05.59 -02:00;1732492270146530@messenger.gw.msging.net;carnabelo@msging.net;12/02/2018;User
73930;2018-02-02 14:02:07.01 -02:00;carnabelo@msging.net;1732492270146530@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
73933;2018-02-02 14:02:13.44 -02:00;1775285875836015@messenger.gw.msging.net;carnabelo@msging.net;Vai chover?;User
73936;2018-02-02 14:02:15.34 -02:00;carnabelo@msging.net;1732492270146530@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
74003;2018-02-02 14:06:11.16 -02:00;1837383309667633@messenger.gw.msging.net;carnabelo@msging.net;Começar;User
74005;2018-02-02 14:06:12.81 -02:00;carnabelo@msging.net;1837383309667633@messenger.gw.msging.net;E ai Mayara Albuquerque, o carnaval de BH já começou 🎉 🎭;Bot
74008;2018-02-02 14:06:15.80 -02:00;carnabelo@msging.net;1837383309667633@messenger.gw.msging.net;Se você não sabe onde ir, posso te ajudar com isso.;Bot
74010;2018-02-02 14:06:24.97 -02:00;1837383309667633@messenger.gw.msging.net;carnabelo@msging.net;dancar;User
74012;2018-02-02 14:06:26.55 -02:00;carnabelo@msging.net;1837383309667633@messenger.gw.msging.net;"🎵   Se preparaaaa, vou dançar, presta atenção 🕺
";Bot
74014;2018-02-02 14:06:27.58 -02:00;carnabelo@msging.net;1837383309667633@messenger.gw.msging.net;Não existe época melhor para dançar e se divertir com sua família e amigos.;Bot
74016;2018-02-02 14:06:31.77 -02:00;carnabelo@msging.net;1837383309667633@messenger.gw.msging.net;"Tenho essas opções para te ajudar a encontrar um bloquinho de carnaval⬇
";Bot
74078;2018-02-02 14:09:24.03 -02:00;1837383309667633@messenger.gw.msging.net;carnabelo@msging.net;MenuMeusBlocos;User
74081;2018-02-02 14:09:34.86 -02:00;1837383309667633@messenger.gw.msging.net;carnabelo@msging.net;MenuEnviarLocal;User
74086;2018-02-02 14:09:45.60 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net;O bloco o Bloco do Pirulito, já está na rua!!!;Bot
74088;2018-02-02 14:09:46.60 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net;Vem pra folia boa!!! 🎉;Bot
74095;2018-02-02 14:09:53.75 -02:00;carnabelo@msging.net;1837383309667633@messenger.gw.msging.net;Fiquei sabendo que perto daí tem uns blocos que não dá para perder👇;Bot
74098;2018-02-02 14:10:09.45 -02:00;1767958763279497@messenger.gw.msging.net;carnabelo@msging.net;Menu;User
74102;2018-02-02 14:10:14.90 -02:00;1767958763279497@messenger.gw.msging.net;carnabelo@msging.net;MenuEnviarLocal;User
74107;2018-02-02 14:10:34.21 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net;Fiquei sabendo que perto daí tem uns blocos que não dá para perder👇;Bot
74112;2018-02-02 14:10:55.18 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net;"    🎵 Ô leva eu, LEva LEva 
Te espero lá.. Não se esqueça de levar sua animação e alegria!";Bot
74114;2018-02-02 14:10:56.23 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net;Quando estiver quase na hora te chamo por aqui para o Blocão Pet.  👍;Bot
74178;2018-02-02 14:14:23.92 -02:00;1883036518397230@messenger.gw.msging.net;carnabelo@msging.net;Começar;User
74180;2018-02-02 14:14:25.53 -02:00;carnabelo@msging.net;1883036518397230@messenger.gw.msging.net;E ai Mateus Bistene, o carnaval de BH já começou 🎉 🎭;Bot
74182;2018-02-02 14:14:28.55 -02:00;carnabelo@msging.net;1883036518397230@messenger.gw.msging.net;Se você não sabe onde ir, posso te ajudar com isso.;Bot
74185;2018-02-02 14:14:40.63 -02:00;1883036518397230@messenger.gw.msging.net;carnabelo@msging.net;beber;User
74187;2018-02-02 14:14:42.18 -02:00;carnabelo@msging.net;1883036518397230@messenger.gw.msging.net;"🎵 Você pensa que cachaça é água?
Cachaça não é água não.🍺
";Bot
74189;2018-02-02 14:14:43.18 -02:00;carnabelo@msging.net;1883036518397230@messenger.gw.msging.net;Beber pode? Claro que pode!! Se for catuaçaÍ, melhor ainda.. só não pode dirigir depois, hein? 🚕 🚎 🚈;Bot
74193;2018-02-02 14:14:47.36 -02:00;carnabelo@msging.net;1883036518397230@messenger.gw.msging.net;"Tenho essas opções para te ajudar a encontrar um bloquinho de carnaval⬇
";Bot
74196;2018-02-02 14:15:06.12 -02:00;1550256428343604@messenger.gw.msging.net;carnabelo@msging.net;Começar;User
74198;2018-02-02 14:15:07.46 -02:00;1883036518397230@messenger.gw.msging.net;carnabelo@msging.net;o que tem para amanha?;User
74199;2018-02-02 14:15:08.03 -02:00;carnabelo@msging.net;1550256428343604@messenger.gw.msging.net;E ai Luiz Marcelo Santos Jr, o carnaval de BH já começou 🎉 🎭;Bot
74203;2018-02-02 14:15:09.84 -02:00;carnabelo@msging.net;1883036518397230@messenger.gw.msging.net;Com tantos blocos, às vezes fico meio perdido. 😵  ;Bot
74206;2018-02-02 14:15:11.03 -02:00;carnabelo@msging.net;1550256428343604@messenger.gw.msging.net;Se você não sabe onde ir, posso te ajudar com isso.;Bot
74209;2018-02-02 14:15:18.95 -02:00;1883036518397230@messenger.gw.msging.net;carnabelo@msging.net;03/02/2018;User
74211;2018-02-02 14:15:20.58 -02:00;carnabelo@msging.net;1883036518397230@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
74214;2018-02-02 14:15:24.92 -02:00;1550256428343604@messenger.gw.msging.net;carnabelo@msging.net;beber;User
74217;2018-02-02 14:15:26.28 -02:00;carnabelo@msging.net;1550256428343604@messenger.gw.msging.net;"🎵 Você pensa que cachaça é água?
Cachaça não é água não.🍺
";Bot
74220;2018-02-02 14:15:27.28 -02:00;carnabelo@msging.net;1550256428343604@messenger.gw.msging.net;Beber pode? Claro que pode!! Se for catuaçaÍ, melhor ainda.. só não pode dirigir depois, hein? 🚕 🚎 🚈;Bot
74222;2018-02-02 14:15:28.09 -02:00;carnabelo@msging.net;1883036518397230@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
74225;2018-02-02 14:15:31.36 -02:00;carnabelo@msging.net;1550256428343604@messenger.gw.msging.net;"Tenho essas opções para te ajudar a encontrar um bloquinho de carnaval⬇
";Bot
74228;2018-02-02 14:15:36.84 -02:00;1550256428343604@messenger.gw.msging.net;carnabelo@msging.net;MenuHoje;User
74230;2018-02-02 14:15:38.33 -02:00;carnabelo@msging.net;1550256428343604@messenger.gw.msging.net;"Isso ai!!! 😀
Não perca tempo, pq o bloco ja está saindo.  Corre que dá tempo!! 🎭";Bot
74237;2018-02-02 14:16:04.06 -02:00;carnabelo@msging.net;1883036518397230@messenger.gw.msging.net;A concentração do Energia na Folia vai ser na 👉 RUA MUCURI, 278 👈;Bot
74244;2018-02-02 14:17:21.59 -02:00;1775489765818948@messenger.gw.msging.net;carnabelo@msging.net;MenuMeusBlocos;User
74247;2018-02-02 14:17:31.28 -02:00;1775489765818948@messenger.gw.msging.net;carnabelo@msging.net;MenuAgenda;User
74250;2018-02-02 14:17:36.49 -02:00;1775489765818948@messenger.gw.msging.net;carnabelo@msging.net;10/02/2018;User
74252;2018-02-02 14:17:37.83 -02:00;carnabelo@msging.net;1775489765818948@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
74257;2018-02-02 14:17:42.91 -02:00;carnabelo@msging.net;1775489765818948@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
74313;2018-02-02 14:17:50.64 -02:00;carnabelo@msging.net;1775489765818948@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
74383;2018-02-02 14:23:30.71 -02:00;1767958763279497@messenger.gw.msging.net;carnabelo@msging.net;MenuMeusBlocos;User
74391;2018-02-02 14:24:36.62 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;Começar;User
74394;2018-02-02 14:24:38.77 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;E ai Sergio Passos, o carnaval de BH já começou 🎉 🎭;Bot
74396;2018-02-02 14:24:41.75 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Se você não sabe onde ir, posso te ajudar com isso.;Bot
74400;2018-02-02 14:24:55.93 -02:00;2132001316817479@messenger.gw.msging.net;carnabelo@msging.net;meus blocos;User
74467;2018-02-02 14:29:11.90 -02:00;carnabelo@msging.net;1897852826951893@messenger.gw.msging.net;A concentração do Então, Brilha! vai ser na 👉 Guaicurus, 660 👈;Bot
74472;2018-02-02 14:29:21.82 -02:00;1897852826951893@messenger.gw.msging.net;carnabelo@msging.net;eu vou;User
74474;2018-02-02 14:29:25.63 -02:00;carnabelo@msging.net;1897852826951893@messenger.gw.msging.net;"Vem pra folia boa!!!  🎉  
Te espero lá.. Não se esqueça de levar sua animação e alegria!";Bot
74476;2018-02-02 14:29:26.68 -02:00;carnabelo@msging.net;1897852826951893@messenger.gw.msging.net;Quando estiver quase na hora te chamo por aqui para o Então, Brilha!.  👍;Bot
74479;2018-02-02 14:29:32.82 -02:00;1571568009545564@messenger.gw.msging.net;carnabelo@msging.net;📅 Agenda;User
74482;2018-02-02 14:29:37.36 -02:00;1571568009545564@messenger.gw.msging.net;carnabelo@msging.net;13/02/2018;User
74484;2018-02-02 14:29:38.71 -02:00;2132001316817479@messenger.gw.msging.net;carnabelo@msging.net;📅 Agenda;User
74485;2018-02-02 14:29:38.95 -02:00;carnabelo@msging.net;1571568009545564@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
74490;2018-02-02 14:29:45.06 -02:00;2132001316817479@messenger.gw.msging.net;carnabelo@msging.net;📍 Mais próximo;User
74495;2018-02-02 14:29:47.94 -02:00;1732492270146530@messenger.gw.msging.net;carnabelo@msging.net;📅 Agenda;User
74500;2018-02-02 14:29:53.92 -02:00;2132001316817479@messenger.gw.msging.net;carnabelo@msging.net;Hoje;User
74502;2018-02-02 14:29:55.87 -02:00;carnabelo@msging.net;2132001316817479@messenger.gw.msging.net;"Isso ai!!! 😀
Não perca tempo, pq o bloco ja está saindo.  Corre que dá tempo!! 🎭";Bot
74505;2018-02-02 14:29:57.86 -02:00;1732492270146530@messenger.gw.msging.net;carnabelo@msging.net;12/02/2018;User
74507;2018-02-02 14:29:59.36 -02:00;carnabelo@msging.net;1732492270146530@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
74512;2018-02-02 14:30:05.88 -02:00;carnabelo@msging.net;1732492270146530@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
74518;2018-02-02 14:30:14.36 -02:00;carnabelo@msging.net;1732492270146530@messenger.gw.msging.net;"    🎵 Ô leva eu, LEva LEva 
Te espero lá.. Não se esqueça de levar sua animação e alegria!";Bot
74520;2018-02-02 14:30:15.41 -02:00;carnabelo@msging.net;1732492270146530@messenger.gw.msging.net;Quando estiver quase na hora te chamo por aqui para o Baianas Ozadas.  👍;Bot
74523;2018-02-02 14:30:25.58 -02:00;1767958763279497@messenger.gw.msging.net;carnabelo@msging.net;Começar;User
74526;2018-02-02 14:30:31.81 -02:00;1732492270146530@messenger.gw.msging.net;carnabelo@msging.net;MenuMeusBlocos;User
74529;2018-02-02 14:30:33.32 -02:00;1767958763279497@messenger.gw.msging.net;carnabelo@msging.net;MenuHoje;User
74531;2018-02-02 14:30:35.06 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net;"Isso ai!!! 😀
Não perca tempo, pq o bloco ja está saindo.  Corre que dá tempo!! 🎭";Bot
74534;2018-02-02 14:31:12.70 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;dancar;User
74536;2018-02-02 14:31:14.18 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;"🎵   Se preparaaaa, vou dançar, presta atenção 🕺
";Bot
74538;2018-02-02 14:31:15.18 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Não existe época melhor para dançar e se divertir com sua família e amigos.;Bot
74540;2018-02-02 14:31:19.41 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;"Tenho essas opções para te ajudar a encontrar um bloquinho de carnaval⬇
";Bot
74543;2018-02-02 14:31:28.46 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;MenuAgenda;User
74550;2018-02-02 14:32:00.70 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;09/02/2018;User
74552;2018-02-02 14:32:02.11 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
74557;2018-02-02 14:32:13.63 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
74610;2018-02-02 14:32:52.95 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;📍 Mais próximo;User
74615;2018-02-02 14:33:01.25 -02:00;1897852826951893@messenger.gw.msging.net;carnabelo@msging.net;Menu;User
74627;2018-02-02 14:34:58.81 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Fiquei sabendo que perto daí tem uns blocos que não dá para perder👇;Bot
74633;2018-02-02 14:35:24.20 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;"Vem pra folia boa!!!  🎉  
Te espero lá.. Não se esqueça de levar sua animação e alegria!";Bot
74635;2018-02-02 14:35:25.23 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Quando estiver quase na hora te chamo por aqui para o Blocão Pet.  👍;Bot
74638;2018-02-02 14:35:36.45 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;O que vai rolar no Gutierrez;User
74640;2018-02-02 14:35:38.79 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Não precisa ficar nervoso, afinal é carnaval!  🎉 🎭;Bot
74643;2018-02-02 14:35:48.97 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;MenuAgenda;User
74648;2018-02-02 14:35:58.46 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;10/02/2018;User
74650;2018-02-02 14:35:59.81 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
74655;2018-02-02 14:36:09.91 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
74660;2018-02-02 14:36:18.05 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;"Vem pra folia boa!!!  🎉  
Te espero lá.. Não se esqueça de levar sua animação e alegria!";Bot
74662;2018-02-02 14:36:19.09 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Quando estiver quase na hora te chamo por aqui para o Unidos da Estrela da Morte.  👍;Bot
74665;2018-02-02 14:36:36.44 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;Gutierrez;User
74668;2018-02-02 14:36:44.47 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;MenuAgenda;User
74673;2018-02-02 14:36:56.93 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;04/02/2018;User
74675;2018-02-02 14:36:58.31 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
74678;2018-02-02 14:37:18.99 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;📅 Agenda;User
74681;2018-02-02 14:37:25.39 -02:00;1279632678803293@messenger.gw.msging.net;carnabelo@msging.net;02/02/2018;User
74683;2018-02-02 14:37:26.76 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
74688;2018-02-02 14:37:33.50 -02:00;carnabelo@msging.net;1279632678803293@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
74691;2018-02-02 14:37:39.81 -02:00;1816766838336376@messenger.gw.msging.net;carnabelo@msging.net;Começar;User
74693;2018-02-02 14:37:41.53 -02:00;carnabelo@msging.net;1816766838336376@messenger.gw.msging.net;E ai Cecília Caetano, o carnaval de BH já começou 🎉 🎭;Bot
74725;2018-02-02 14:37:44.53 -02:00;carnabelo@msging.net;1816766838336376@messenger.gw.msging.net;Se você não sabe onde ir, posso te ajudar com isso.;Bot
74752;2018-02-02 14:38:00.98 -02:00;1816766838336376@messenger.gw.msging.net;carnabelo@msging.net;dancar;User
74754;2018-02-02 14:38:02.53 -02:00;carnabelo@msging.net;1816766838336376@messenger.gw.msging.net;"🎵   Se preparaaaa, vou dançar, presta atenção 🕺
";Bot
74756;2018-02-02 14:38:03.53 -02:00;carnabelo@msging.net;1816766838336376@messenger.gw.msging.net;Não existe época melhor para dançar e se divertir com sua família e amigos.;Bot
74758;2018-02-02 14:38:07.70 -02:00;carnabelo@msging.net;1816766838336376@messenger.gw.msging.net;"Tenho essas opções para te ajudar a encontrar um bloquinho de carnaval⬇
";Bot
74761;2018-02-02 14:38:46.17 -02:00;1816766838336376@messenger.gw.msging.net;carnabelo@msging.net;MenuHoje;User
74763;2018-02-02 14:38:47.96 -02:00;carnabelo@msging.net;1816766838336376@messenger.gw.msging.net;"Isso ai!!! 😀
Não perca tempo, pq o bloco ja está saindo.  Corre que dá tempo!! 🎭";Bot
74767;2018-02-02 14:38:57.76 -02:00;2132001316817479@messenger.gw.msging.net;carnabelo@msging.net;ahuahuahuh;User
74769;2018-02-02 14:38:59.16 -02:00;carnabelo@msging.net;2132001316817479@messenger.gw.msging.net; 😀 ;Bot
74774;2018-02-02 14:39:26.31 -02:00;1774738775929892@messenger.gw.msging.net;carnabelo@msging.net;Começar;User
74776;2018-02-02 14:39:27.88 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;E ai Soraia Cabral, o carnaval de BH já começou 🎉 🎭;Bot
74778;2018-02-02 14:39:30.87 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;Se você não sabe onde ir, posso te ajudar com isso.;Bot
74781;2018-02-02 14:39:41.22 -02:00;1774738775929892@messenger.gw.msging.net;carnabelo@msging.net;dancar;User
74783;2018-02-02 14:39:42.57 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;"🎵   Se preparaaaa, vou dançar, presta atenção 🕺
";Bot
74785;2018-02-02 14:39:43.57 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;Não existe época melhor para dançar e se divertir com sua família e amigos.;Bot
74789;2018-02-02 14:39:47.69 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;"Tenho essas opções para te ajudar a encontrar um bloquinho de carnaval⬇
";Bot
74795;2018-02-02 14:40:20.03 -02:00;1774738775929892@messenger.gw.msging.net;carnabelo@msging.net;MenuAgenda;User
74798;2018-02-02 14:40:28.74 -02:00;1774738775929892@messenger.gw.msging.net;carnabelo@msging.net;04/02/2018;User
74800;2018-02-02 14:40:30.16 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
74805;2018-02-02 14:41:14.75 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
74808;2018-02-02 14:41:32.36 -02:00;1774738775929892@messenger.gw.msging.net;carnabelo@msging.net;MenuMeusBlocos;User
74814;2018-02-02 14:41:45.79 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net;"Vem pra folia boa!!!  🎉  
Te espero lá.. Não se esqueça de levar sua animação e alegria!";Bot
74816;2018-02-02 14:41:46.79 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net;Quando estiver quase na hora te chamo por aqui para o Abre-te Sésamo.  👍;Bot
74822;2018-02-02 14:41:59.55 -02:00;1774738775929892@messenger.gw.msging.net;carnabelo@msging.net;MenuAgenda;User
74825;2018-02-02 14:42:07.56 -02:00;1774738775929892@messenger.gw.msging.net;carnabelo@msging.net;04/02/2018;User
74828;2018-02-02 14:42:09.16 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
74832;2018-02-02 14:42:17.88 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
74835;2018-02-02 14:42:32.03 -02:00;1607365502678772@messenger.gw.msging.net;carnabelo@msging.net;Começar;User
74837;2018-02-02 14:42:33.60 -02:00;carnabelo@msging.net;1607365502678772@messenger.gw.msging.net;E ai Mateus Baranowski, o carnaval de BH já começou 🎉 🎭;Bot
74840;2018-02-02 14:42:36.60 -02:00;carnabelo@msging.net;1607365502678772@messenger.gw.msging.net;Se você não sabe onde ir, posso te ajudar com isso.;Bot
74844;2018-02-02 14:42:39.59 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;"Vem pra folia boa!!!  🎉  
Te espero lá.. Não se esqueça de levar sua animação e alegria!";Bot
74846;2018-02-02 14:42:40.64 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;Quando estiver quase na hora te chamo por aqui para o Asa de Banana.  👍;Bot
74899;2018-02-02 14:42:48.97 -02:00;1607365502678772@messenger.gw.msging.net;carnabelo@msging.net;tudo;User
74901;2018-02-02 14:42:50.53 -02:00;carnabelo@msging.net;1607365502678772@messenger.gw.msging.net;🎵 Que tiro foi esse que tá um arraso?!  😎;Bot
74903;2018-02-02 14:42:51.53 -02:00;carnabelo@msging.net;1607365502678772@messenger.gw.msging.net;Dançar, Beber e Beijar! Folia boa, folia gostosa, folia marota... Isso é carnaval!! 🎭;Bot
74907;2018-02-02 14:42:55.68 -02:00;carnabelo@msging.net;1607365502678772@messenger.gw.msging.net;"Tenho essas opções para te ajudar a encontrar um bloquinho de carnaval⬇
";Bot
74909;2018-02-02 14:42:55.95 -02:00;1774738775929892@messenger.gw.msging.net;carnabelo@msging.net;MenuHoje;User
74912;2018-02-02 14:42:57.72 -02:00;carnabelo@msging.net;1774738775929892@messenger.gw.msging.net;"Isso ai!!! 😀
Não perca tempo, pq o bloco ja está saindo.  Corre que dá tempo!! 🎭";Bot
74915;2018-02-02 14:43:02.26 -02:00;1607365502678772@messenger.gw.msging.net;carnabelo@msging.net;MenuHoje;User
74917;2018-02-02 14:43:03.91 -02:00;carnabelo@msging.net;1607365502678772@messenger.gw.msging.net;"Isso ai!!! 😀
Não perca tempo, pq o bloco ja está saindo.  Corre que dá tempo!! 🎭";Bot
